,Unicode,漢字,繁体字,汉字,日本語の読み,韓国語の読み,ピンイン,频率,累计频率(%),consonant_jp,vowel_jp,rusheng_jp,consonants,vowel,tone,sound,middle_pronounce,middle_tone,middle_tone2,middle_initial,voice_class,jp_voicing,retroflex,korean,日本語_五音,日本語_清濁,韓国語_子音,韓国語_五音,韓国語_清濁,中国語_五音,中国語_清濁,ピンイン2
1,U+4E01,丁,丁,丁,チョウ,정,dīng,12190,89.1414222252,c,hou,False,d,ing,1,ding,知耕二開,平,1,知,全清,その他,False,jeong,舌音,全清,ㅈ,歯音,全清,舌音,全清,ding1
2,U+4E03,七,七,七,シチ,칠,qī,35499,73.7071709083,s,hichi,True,q,i,1,qi,清眞三開,入,4,清,次清,清,False,chil,歯音,全清,ㅊ,歯音,次清,歯音,次清,qi1
3,U+4E07,万,万,万,マン,만,wàn mò,53972,66.6908822496,m,an,False,w,an mo,4,wan mo,明元三合,去,3,明,次濁,鼻音・流音,False,man,唇音,次濁,なし,なし,なし,喉音,次濁,wan4 mo4
4,U+4E08,丈,丈,丈,ジョウ,장,zhàng,16371,86.1123001328,j,ou,False,zh,ang,4,zhang,澄陽三開,上,2,澄,全濁,その他,True,jang,歯音,全濁,ㅈ,歯音,全清,歯音,全清,zhang4
5,U+4E09,三,三,三,サン,삼,sān,141780,47.2663216588,s,an,False,s,an,1,san,心談一開,平,1,心,全清,清,False,sam,歯音,全清,ㅅ,歯音,全清,歯音,次清,san1
6,U+4E0A,上,上,上,ジョウ,상,shàng,571537,19.191638041,j,ou,False,sh,ang,4,shang,常陽三開,上,2,常,全濁,その他,True,sang,歯音,全濁,ㅅ,歯音,全清,歯音,次清,shang4
7,U+4E0B,下,下,下,カ,하,xià,359999,27.9736378858,k,a,False,x,ia,4,xia,匣麻二開,上,2,匣,全濁,清,False,ha,牙音,全清,ㅎ,喉音,次清,歯音,次清,xia4
8,U+4E0D,不,不,不,フ,부 불,bù,1285160,10.1819385929,f,u,False,b,u,4,bu,幫尤三開,平,1,幫,全清,その他,False,bu bul,唇音,全清,ㅂ,唇音,全清,唇音,全清,bu4
9,U+4E11,丑,丑,丑,チュウ,축,chǒu,5499,94.7208080706,c,huu,False,ch,ou,3,chou,徹尤三開,上,2,徹,次清,その他,True,chuk,舌音,全清,ㅊ,歯音,次清,歯音,次清,chou3
10,U+4E14,且,且,且,シャ,차,qiě,55992,65.8728785276,s,ha,False,q,ie,3,qie,精魚三開,平,1,精,全清,清,False,cha,歯音,全清,ㅊ,歯音,次清,歯音,次清,qie3
11,U+4E15,丕,丕,丕,ヒ,비,pī,506,99.4988871181,h,i,False,p,i,1,pi,滂脂三開,平,1,滂,次清,清,False,bi,唇音,全清,ㅂ,唇音,全清,唇音,次清,pi1
12,U+4E16,世,世,世,セイ,세,shì,72838,60.8932249239,s,ei,False,sh,i,4,shi,書祭三開,去,3,書,全清,清,True,se,歯音,全清,ㅅ,歯音,全清,歯音,次清,shi4
13,U+4E18,丘,丘,丘,キュウ,구,qiū,3413,96.7438602557,k,yuu,False,q,iu,1,qiu,溪尤三開,平,1,溪,次清,清,False,gu,牙音,全清,ㄱ,牙音,全清,歯音,次清,qiu1
14,U+4E19,丙,丙,丙,ヘイ,병,bǐng,840,99.2086978321,h,ei,False,b,ing,3,bing,幫庚三開,上,2,幫,全清,清,False,byeong,唇音,全清,ㅂ,唇音,全清,唇音,全清,bing3
15,U+4E1E,丞,丞,丞,ジョウ,승,chéng,954,99.0980600794,j,ou,False,ch,eng,2,cheng,常蒸三開,平,1,常,全濁,その他,True,seung,歯音,全濁,ㅅ,歯音,全清,歯音,次清,cheng2
16,U+4E1F,丟,丟,丢,チュウ,주,diū,8221,92.3226642074,c,huu,False,d,iu,1,diu,端幽三開,平,1,端,全清,その他,False,ju,舌音,全清,ㅈ,歯音,全清,舌音,全清,diu1
17,U+4E26,並,並,并,ヘイ,병,bìng,86617,56.9221753364,h,ei,False,b,ing,4,bing,並青四開,上,2,並,全濁,清,False,byeong,唇音,全清,ㅂ,唇音,全清,唇音,全清,bing4
18,U+4E2B,丫,丫,丫,ア,아,yā,2732,97.4737753248,,a,False,y,a,1,ya,影麻二開,平,1,影,全清,その他,False,a,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,ya1
19,U+4E2D,中,中,中,チュウ,중,zhōng,368320,25.89833446,c,huu,False,zh,ong,1,zhong,知東三開,平,1,知,全清,その他,True,jung,舌音,全清,ㅈ,歯音,全清,歯音,全清,zhong1
20,U+4E30,丰,丰,丰,フウ,봉,fēng,9063,91.5496016641,f,uu,False,f,eng,1,feng,滂鍾三開,平,1,滂,次清,その他,False,bong,唇音,全清,ㅂ,唇音,全清,唇音,次清,feng1
21,U+4E32,串,串,串,カン,곶 관,chuàn,4753,95.4967256413,k,an,False,ch,uan,4,chuan,見刪二合,去,3,見,全清,清,True,got gwan,牙音,全清,ㄱ,牙音,全清,歯音,次清,chuan4
22,U+4E38,丸,丸,丸,ガン,환,wán,1763,98.3381001745,g,an,False,w,an,2,wan,匣桓一合,平,1,匣,全濁,濁,False,hwan,牙音,全濁,ㅎ,喉音,次清,喉音,次濁,wan2
23,U+4E39,丹,丹,丹,タン,단 란,dān,9603,91.1234782352,t,an,False,d,an,1,dan,端寒一開,平,1,端,全清,清,False,dan ran,舌音,全清,ㄷ,舌音,全清,舌音,全清,dan1
24,U+4E3B,主,主,主,シュ,주,zhǔ,109936,52.2959938282,s,hu,False,zh,u,3,zhu,章虞三合,上,2,章,全清,清,True,ju,歯音,全清,ㅈ,歯音,全清,歯音,全清,zhu3
